               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1119,            0.026685,                   0,           0.0012719,             0.29897,           0.0021398,          0.00043297,            0.099175,             0.01578,                   0,            0.070789,           0.0032456,           0.0032456
                   1,            0.091076,            0.020887,                   0,           0.0016667,             0.39175,            0.033146,           0.0094607,            0.085599,            0.013238,                   0,            0.040746,           0.0065355,           0.0065355
                   2,            0.084425,            0.018433,                   0,            0.020136,             0.24742,            0.047246,            0.011789,            0.086321,            0.010821,                   0,            0.010659,           0.0097814,           0.0097814
                   3,            0.080125,            0.017035,                   0,             0.37024,            0.020619,            0.090456,            0.031736,            0.075408,            0.011091,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.068791,            0.018157,                   0,             0.63048,             0.24742,             0.25553,              0.1018,             0.06691,            0.011372,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.066907,            0.016368,                   0,             0.40343,             0.29897,             0.24082,             0.10605,            0.061671,            0.011593,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.059682,            0.017176,                   0,             0.35651,             0.34021,             0.21397,            0.070995,            0.060793,            0.010508,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.057606,            0.015052,                   0,             0.50273,             0.30928,             0.26932,            0.092188,            0.051882,            0.010888,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.053979,            0.015083,                   0,             0.60077,             0.38144,             0.37708,             0.15947,            0.046754,             0.01052,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.053761,            0.014275,                   0,              0.6516,             0.40206,             0.42408,             0.19965,            0.047553,            0.010054,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.049796,            0.013701,                   0,             0.66484,             0.43299,             0.51758,             0.19371,            0.047395,           0.0089735,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.047924,            0.012316,                   0,              0.7992,              0.4433,             0.58805,             0.24729,             0.04322,           0.0081405,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.047832,            0.011374,                   0,             0.72577,             0.50515,             0.64096,             0.29721,            0.043804,           0.0078043,                   0,            0.009274,            0.009274,            0.009274
                  13,             0.04766,            0.011167,                   0,             0.73148,             0.60825,             0.72221,             0.31746,            0.042754,           0.0079419,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.045474,           0.0099749,                   0,             0.63061,             0.68041,             0.66873,             0.29095,            0.045401,           0.0071303,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.045682,            0.010566,                   0,             0.77902,             0.69054,             0.78157,             0.33795,            0.041313,           0.0067688,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.042358,           0.0096843,                   0,             0.73528,             0.63918,             0.70485,             0.31221,            0.042254,           0.0068391,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.043786,           0.0097822,                   0,              0.7272,             0.63209,             0.70762,             0.36205,             0.04104,           0.0065303,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.041574,           0.0094534,                   0,             0.80814,             0.69072,             0.77031,             0.30361,             0.04449,           0.0061594,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.039957,           0.0088589,                   0,             0.77744,             0.75258,             0.78277,             0.39497,            0.040843,           0.0060796,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.041412,           0.0088682,                   0,             0.80567,             0.71134,             0.79534,             0.37631,            0.037295,            0.006117,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.040228,           0.0086345,                   0,             0.79212,             0.72165,              0.8048,             0.35147,            0.039232,           0.0059983,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.038763,           0.0088736,                   0,             0.89337,             0.60466,             0.76057,             0.35802,            0.039617,           0.0061477,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.036724,           0.0081704,                   0,             0.88042,             0.73196,             0.80835,              0.4137,            0.037203,           0.0061143,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.036488,           0.0083205,                   0,             0.83736,             0.74312,             0.83396,             0.38469,             0.03938,           0.0058346,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.039571,           0.0077806,                   0,                0.82,             0.65751,             0.75144,             0.36412,            0.039261,           0.0058763,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.038251,           0.0082791,                   0,             0.85494,             0.81443,             0.85697,             0.43356,              0.0372,           0.0055877,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.036901,            0.008121,                   0,             0.86578,             0.73148,              0.8032,             0.35137,            0.039976,           0.0056565,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.037597,           0.0076022,                   0,             0.85223,             0.71347,             0.80397,             0.38061,            0.039109,           0.0057457,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.037489,           0.0076355,                   0,             0.93644,              0.7595,             0.85426,             0.41986,            0.038124,           0.0055885,                   0,            0.008152,            0.008152,            0.008152
                  30,             0.03521,           0.0076124,                   0,             0.91454,              0.7732,             0.85926,             0.42109,            0.038693,           0.0054185,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.035799,           0.0077378,                   0,             0.82098,             0.81443,             0.85141,              0.4216,            0.038135,           0.0055523,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.034589,           0.0076922,                   0,             0.84363,             0.77869,             0.86554,             0.38983,            0.036827,           0.0056867,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.036678,           0.0077957,                   0,             0.81074,             0.81443,             0.83849,             0.41144,            0.034918,           0.0056668,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.033486,            0.007698,                   0,             0.86589,             0.85567,             0.87633,             0.42716,            0.034724,            0.005426,                   0,            0.007822,            0.007822,            0.007822
                  35,             0.03279,           0.0074829,                   0,             0.84453,             0.79381,             0.84557,              0.4172,            0.036557,           0.0054946,                   0,            0.007756,            0.007756,            0.007756
